platform_unit_id,station_id,station_name,snapshot_rows,latest_collected_at
0419,1298,PTT Station Krabi,2,2026-06-18 14:03:27
0419,1462,PTT Station Krabi P.N. Oil,2,2026-06-18 14:04:44
0475,1262,PTT Station Manita Oil and Service (Talad Mai),2,2026-06-18 14:40:30
0475,1997,PTT Station Manita Oil and Service,2,2026-06-18 14:39:54
1046,827,PTT Station Chiang Rai Kittirat,3,2026-06-19 01:28:19
1046,935,PTT Station Chiang Rai Kittirat (Wiang Pa Pao),3,2026-06-18 12:33:49
1123,1805,PTT Station Thiti Petroleum,2,2026-06-18 21:26:20
1123,2079,PTT Station Thiti Petroleum (2014),2,2026-06-18 21:26:55
1128,835,PTT Station San Kamphaeng 3,3,2026-06-18 19:52:09
1128,1525,PTT Station San Kamphaeng,3,2026-06-18 19:51:30
1156,1565,PTT Station Puncharoen Group,3,2026-06-18 18:05:23
1156,1849,PTT Station Puncharoen Group (2),3,2026-06-18 18:06:02
1166,517,PTT Station Thepharak,3,2026-06-17 16:17:47
1166,1545,PTT Station Thepha,3,2026-06-18 21:24:23
1297,512,PTT Station Jiang-Asawan Nongkhai (Khu Khot),2,2026-06-17 16:05:00
1297,1314,PTT Station Jiang-Asawan Nongkhai,2,2026-06-18 13:18:43
1363,915,PTT Station Viyada Petroleum (2000),2,2026-06-18 21:47:56
1363,984,PTT Station Viyada Petroleum (2000) (Don Sak),2,2026-06-18 21:48:32
240135,1178,PTT Station KabinBuri Petrolium,2,2026-06-18 13:31:40
240135,1868,PTT Station KabinBuri,2,2026-06-18 13:31:03
240232,1606,PTT Station Chang Phueak Petroleum (Bang Saphan Noi),2,2026-06-18 12:22:48
240232,2122,PTT Station Chang Phueak Petroleum,2,2026-06-19 01:17:53
240241,506,PTT Station BG Station (1),2,2026-06-17 15:50:10
240241,2022,PTT Station BG Station,2,2026-06-18 12:00:36
240254,1563,PTT Station Puncharoen Group (Lumsai),2,2026-06-18 16:51:11
240254,1565,PTT Station Puncharoen Group,2,2026-06-19 05:21:35
240277,1212,PTT Station Burapha Petroleum (1995),2,2026-06-19 01:02:18
240277,1428,PTT Station Burapha petroleum (1995) (2),2,2026-06-18 12:06:27
